date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:20	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.bd.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.be.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.bf.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.c0.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.c1.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.c2.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.c3.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.c4.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.c5.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.c6.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.c7.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.c8.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/privacy	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/privacy.c9.delayed	(from https://essential.gg/en/downloads)
20:05:20	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.ca.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.cb.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.cc.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.cd.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.ce.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.cf.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.d0.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.d1.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.d2.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.d3.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.d4.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.d5.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.d6.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/privacy	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/privacy.d7.delayed	(from https://essential.gg/en/changelog)
20:05:20	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.d8.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.d9.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.da.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.db.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.dc.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.dd.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/tiktok	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/tiktok.de.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	307	error ('')			https://essential.gg/wiki	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/wiki.df.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.e0.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/github	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/github.e1.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/discord	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/discord.e2.delayed	(from https://essential.gg/en/licenses)
20:05:20	0/-1	---M--	301	error ('')			https://essential.gg/twitter	C:/Users/youareloser/Desktop/Srcs/Essential/esse/essential.gg/twitter.e3.delayed	(from https://essential.gg/en/licenses)
